Perfil,Algoritmo,Semilla,Pasos,Distancia_km,Area_Covered_km2,Likelihood_Score,Acierto_Informada,Acierto_Ciega
demencia,ACO,25,1000,12.257463914933425,0.16732432021308521,0.07704488291787741,7.3,1.0
demencia,ACO,26,1000,12.278174593052077,0.23113679405326645,0.08382811670545458,8.7,1.4000000000000001
demencia,ACO,27,1000,12.116631303726557,0.18921522702005733,0.07371956724445503,6.800000000000001,1.0
demencia,ACO,28,1000,12.095920625607917,0.22510905954432356,0.08158241138150851,8.200000000000001,1.3
demencia,ACO,29,1000,12.017220048757014,0.18329583298558413,0.04227158719141577,4.2,1.0999999999999999
demencia,ACO,3,105,1.2943860018001274,0.059509400629915124,0.029982885177613466,3.0,0.3
demencia,ACO,30,112,1.409949493661168,0.05096385318501823,0.025771931238388654,2.1999999999999997,0.2
demencia,ACO,31,1000,12.17047906683507,0.20940570547577342,0.06665975802144335,6.9,1.6
demencia,ACO,32,1000,12.137341981845221,0.19433210364768969,0.08239125225923365,7.5,1.0999999999999999
demencia,ACO,33,1000,12.25332177930969,0.18666863312599613,0.08862652604989132,8.6,1.2
demencia,ACO,34,1000,12.025504320004481,0.23226593647747956,0.04917530579256406,5.0,2.6
demencia,ACO,35,1000,12.145626253092674,0.11106256045189324,0.05667776264247577,5.800000000000001,0.7000000000000001
demencia,ACO,36,994,12.044204896855378,0.2207780960689734,0.09256883603442359,9.700000000000001,1.5
demencia,ACO,37,1000,12.095920625607913,0.20819822941538865,0.06959010923839767,7.6,1.7000000000000002
demencia,ACO,38,1000,12.05035713374687,0.1495600421278586,0.07106290174916843,7.1,1.0
demencia,ACO,39,1000,12.133199846221485,0.16807451193640302,0.08074767338464929,7.8,1.2
demencia,ACO,4,1000,12.19947401620119,0.2337084764093936,0.09239434735094952,9.1,1.4000000000000001
demencia,ACO,40,1000,12.145626253092688,0.19205292678312694,0.058121845222122305,5.6000000000000005,1.4000000000000001
demencia,ACO,41,1000,12.046214998123133,0.14578374112190323,0.07004300268346045,7.1,1.3
demencia,ACO,42,1000,12.14976838871641,0.18932603601012027,0.08082946615381058,7.9,2.1
demencia,ACO,43,1000,12.058641404994326,0.15486462751729868,0.07327679462423842,7.3,0.8
demencia,ACO,44,1000,12.062783540618064,0.14426800150474597,0.06302974091766031,6.9,1.2
demencia,ACO,45,1000,12.000651506262084,0.23325158380471567,0.0877715400903611,9.5,1.7999999999999998
demencia,ACO,46,1000,12.12905771059776,0.14033871342189344,0.06999415651170592,7.3,0.8999999999999999
demencia,ACO,47,1000,12.129057710597769,0.20686225523102753,0.07930825945136478,7.199999999999999,1.4000000000000001
